nid,day,rid,status,times,Mon,Tue,Wed,Thu,Fri,Sat,Sun,times
241,6,3,0,0,0,0,0,0,0,0,1,0
242,6,3,0,0.0213,0,0,0,0,0,0,1,2.13
243,6,3,0,0.0426,0,0,0,0,0,0,1,4.26
244,6,3,0,0.0638,0,0,0,0,0,0,1,6.38
245,6,3,0,0.0851,0,0,0,0,0,0,1,8.51
246,6,3,0,0.1064,0,0,0,0,0,0,1,10.64
247,6,3,0,0.1277,0,0,0,0,0,0,1,12.77
248,6,3,0,0.1489,0,0,0,0,0,0,1,14.89
249,6,3,0,0.1702,0,0,0,0,0,0,1,17.02
250,6,3,0,0.1915,0,0,0,0,0,0,1,19.15
251,6,3,0,0.2128,0,0,0,0,0,0,1,21.28
252,6,3,0,0.234,0,0,0,0,0,0,1,23.4
253,6,3,0,0.2553,0,0,0,0,0,0,1,25.53
254,6,3,0,0.2766,0,0,0,0,0,0,1,27.66
255,6,3,0,0.2979,0,0,0,0,0,0,1,29.79
256,6,3,0,0.3191,0,0,0,0,0,0,1,31.91
257,6,3,0,0.3404,0,0,0,0,0,0,1,34.04
258,6,3,0,0.3617,0,0,0,0,0,0,1,36.17
259,6,3,0,0.383,0,0,0,0,0,0,1,38.3
260,6,3,0,0.4043,0,0,0,0,0,0,1,40.43
261,6,3,1,0.4255,0,0,0,0,0,0,1,42.55
262,6,3,1,0.4468,0,0,0,0,0,0,1,44.68
263,6,3,1,0.4681,0,0,0,0,0,0,1,46.81
264,6,3,1,0.4894,0,0,0,0,0,0,1,48.94
265,6,3,1,0.5106,0,0,0,0,0,0,1,51.06
266,6,3,0,0.5319,0,0,0,0,0,0,1,53.19
267,6,3,0,0.5532,0,0,0,0,0,0,1,55.32
268,6,3,1,0.5745,0,0,0,0,0,0,1,57.45
269,6,3,1,0.5957,0,0,0,0,0,0,1,59.57
270,6,3,1,0.617,0,0,0,0,0,0,1,61.7
271,6,3,1,0.6383,0,0,0,0,0,0,1,63.83
272,6,3,1,0.6596,0,0,0,0,0,0,1,65.96
273,6,3,1,0.6809,0,0,0,0,0,0,1,68.09
274,6,3,1,0.7021,0,0,0,0,0,0,1,70.21
275,6,3,1,0.7234,0,0,0,0,0,0,1,72.34
276,6,3,1,0.7447,0,0,0,0,0,0,1,74.47
277,6,3,1,0.766,0,0,0,0,0,0,1,76.6
278,6,3,1,0.7872,0,0,0,0,0,0,1,78.72
279,6,3,1,0.8085,0,0,0,0,0,0,1,80.85
280,6,3,1,0.8298,0,0,0,0,0,0,1,82.98
281,6,3,0,0.8511,0,0,0,0,0,0,1,85.11
282,6,3,0,0.8723,0,0,0,0,0,0,1,87.23
283,6,3,0,0.8936,0,0,0,0,0,0,1,89.36
284,6,3,0,0.9149,0,0,0,0,0,0,1,91.49
285,6,3,0,0.9362,0,0,0,0,0,0,1,93.62
286,6,3,0,0.9574,0,0,0,0,0,0,1,95.74
287,6,3,0,0.9787,0,0,0,0,0,0,1,97.87
288,6,3,0,1,0,0,0,0,0,0,1,100
289,7,3,0,0,1,0,0,0,0,0,0,0
290,7,3,0,0.0213,1,0,0,0,0,0,0,2.13
291,7,3,0,0.0426,1,0,0,0,0,0,0,4.26
292,7,3,0,0.0638,1,0,0,0,0,0,0,6.38
293,7,3,0,0.0851,1,0,0,0,0,0,0,8.51
294,7,3,0,0.1064,1,0,0,0,0,0,0,10.64
295,7,3,0,0.1277,1,0,0,0,0,0,0,12.77
296,7,3,0,0.1489,1,0,0,0,0,0,0,14.89
297,7,3,0,0.1702,1,0,0,0,0,0,0,17.02
298,7,3,0,0.1915,1,0,0,0,0,0,0,19.15
299,7,3,0,0.2128,1,0,0,0,0,0,0,21.28
300,7,3,0,0.234,1,0,0,0,0,0,0,23.4
301,7,3,0,0.2553,1,0,0,0,0,0,0,25.53
302,7,3,0,0.2766,1,0,0,0,0,0,0,27.66
303,7,3,1,0.2979,1,0,0,0,0,0,0,29.79
304,7,3,2,0.3191,1,0,0,0,0,0,0,31.91
305,7,3,2,0.3404,1,0,0,0,0,0,0,34.04
306,7,3,2,0.3617,1,0,0,0,0,0,0,36.17
307,7,3,2,0.383,1,0,0,0,0,0,0,38.3
308,7,3,2,0.4043,1,0,0,0,0,0,0,40.43
309,7,3,0,0.4255,1,0,0,0,0,0,0,42.55
310,7,3,1,0.4468,1,0,0,0,0,0,0,44.68
311,7,3,1,0.4681,1,0,0,0,0,0,0,46.81
312,7,3,0,0.4894,1,0,0,0,0,0,0,48.94
313,7,3,0,0.5106,1,0,0,0,0,0,0,51.06
314,7,3,0,0.5319,1,0,0,0,0,0,0,53.19
315,7,3,0,0.5532,1,0,0,0,0,0,0,55.32
316,7,3,1,0.5745,1,0,0,0,0,0,0,57.45
317,7,3,1,0.5957,1,0,0,0,0,0,0,59.57
318,7,3,1,0.617,1,0,0,0,0,0,0,61.7
319,7,3,1,0.6383,1,0,0,0,0,0,0,63.83
320,7,3,1,0.6596,1,0,0,0,0,0,0,65.96
321,7,3,1,0.6809,1,0,0,0,0,0,0,68.09
322,7,3,1,0.7021,1,0,0,0,0,0,0,70.21
323,7,3,1,0.7234,1,0,0,0,0,0,0,72.34
324,7,3,2,0.7447,1,0,0,0,0,0,0,74.47
325,7,3,2,0.766,1,0,0,0,0,0,0,76.6
326,7,3,2,0.7872,1,0,0,0,0,0,0,78.72
327,7,3,1,0.8085,1,0,0,0,0,0,0,80.85
328,7,3,1,0.8298,1,0,0,0,0,0,0,82.98
329,7,3,1,0.8511,1,0,0,0,0,0,0,85.11
330,7,3,0,0.8723,1,0,0,0,0,0,0,87.23
331,7,3,0,0.8936,1,0,0,0,0,0,0,89.36
332,7,3,0,0.9149,1,0,0,0,0,0,0,91.49
333,7,3,0,0.9362,1,0,0,0,0,0,0,93.62
334,7,3,0,0.9574,1,0,0,0,0,0,0,95.74
335,7,3,0,0.9787,1,0,0,0,0,0,0,97.87
336,7,3,0,1,1,0,0,0,0,0,0,100
337,8,3,0,0,0,1,0,0,0,0,0,0
338,8,3,0,0.0213,0,1,0,0,0,0,0,2.13
339,8,3,0,0.0426,0,1,0,0,0,0,0,4.26
340,8,3,0,0.0638,0,1,0,0,0,0,0,6.38
341,8,3,0,0.0851,0,1,0,0,0,0,0,8.51
342,8,3,0,0.1064,0,1,0,0,0,0,0,10.64
343,8,3,0,0.1277,0,1,0,0,0,0,0,12.77
344,8,3,0,0.1489,0,1,0,0,0,0,0,14.89
345,8,3,0,0.1702,0,1,0,0,0,0,0,17.02
346,8,3,0,0.1915,0,1,0,0,0,0,0,19.15
